0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0.12876764,0.40286118,-4.9954616e-07,0.16415216,0.52916026,-0.045089226,0.24717453,0.6526469,-0.06433942,0.3083004,0.7517755,-0.08158687,0.32126775,0.8444685,-0.08953622,0.36396903,0.5436127,-0.014594064,0.43639818,0.52672523,-0.06544442,0.35271448,0.5206802,-0.08638826,0.3049817,0.53012854,-0.09002704,0.35979578,0.4609588,-0.009691092,0.4247915,0.45300457,-0.06261782,0.32446802,0.460395,-0.06577242,0.2887316,0.47309628,-0.052190725,0.3470283,0.38552803,-0.015260854,0.39457095,0.37944412,-0.07089077,0.30545568,0.39702415,-0.054481484,0.27453825,0.4124749,-0.025370862,0.32892516,0.31279573,-0.024473403,0.37639976,0.31315845,-0.052711144,0.31425196,0.33351046,-0.034232836,0.28103566,0.34540483,-0.009345299
0.4476897,0.44610313,-4.5150512e-07,0.47060466,0.5758635,-0.033037476,0.51726824,0.7028777,-0.050999764,0.5542021,0.8025342,-0.071271524,0.56094855,0.8868145,-0.08643369,0.63692707,0.62106895,0.00048366206,0.6994533,0.62489265,-0.048893135,0.6331603,0.61047333,-0.07772422,0.5787325,0.60361046,-0.0871169,0.64614373,0.5492119,-0.0008363395,0.7056404,0.5565794,-0.05328062,0.618127,0.5449595,-0.06679435,0.567542,0.541,-0.06097424,0.6452412,0.47974506,-0.0113170305,0.6956686,0.4836908,-0.06437816,0.61217386,0.47937742,-0.054720998,0.5665953,0.47781807,-0.030716633,0.6365739,0.40805405,-0.024753738,0.68562007,0.41648203,-0.054797776,0.6238687,0.42217585,-0.04037251,0.58217055,0.42334914,-0.01840376
0.6228331,0.47948587,-4.7288978e-07,0.6407443,0.60801136,-0.022307968,0.66532713,0.71993923,-0.032643504,0.6981578,0.8094565,-0.047089856,0.7088993,0.8807243,-0.0562664,0.7706713,0.6435263,0.019901883,0.83828497,0.6387199,-0.02172175,0.77890193,0.6237176,-0.049067866,0.7313796,0.61790246,-0.058138985,0.78003144,0.5743406,0.018822106,0.841836,0.5741234,-0.024714096,0.7652192,0.56148386,-0.03902075,0.72041994,0.56062144,-0.036533393,0.78196144,0.5113386,0.00954241,0.8391445,0.5152124,-0.03258002,0.7652365,0.506332,-0.02292479,0.7186508,0.5083013,-0.002111773,0.7756624,0.4499282,-0.0024879035,0.82492286,0.45607573,-0.025246708,0.7731897,0.45990756,-0.012120452,0.7339994,0.4666887,0.007045092
0.55709803,0.28024906,-4.4548125e-07,0.59265083,0.39324117,-0.037295192,0.6508455,0.49801555,-0.05760025,0.7007294,0.5851047,-0.07903574,0.7258283,0.66404796,-0.09495122,0.7442564,0.39527294,-0.0097388495,0.8114182,0.3776832,-0.0569036,0.7500736,0.37576342,-0.083651334,0.7015616,0.38563848,-0.09285125,0.74114597,0.32075784,-0.007880815,0.8027017,0.30376738,-0.05810792,0.72298396,0.31417638,-0.070298515,0.67635804,0.33105722,-0.06547596,0.7301962,0.25490785,-0.015014761,0.78294265,0.2379891,-0.062903054,0.71062094,0.25604886,-0.05430194,0.66707724,0.27667645,-0.03346979,0.71407765,0.19451872,-0.025954887,0.75840604,0.17749943,-0.0524579,0.7122816,0.19775341,-0.042521123,0.67814225,0.21772635,-0.025696188
0.45941004,0.32553875,-4.8693306e-07,0.5338323,0.44047844,-0.03757549,0.6346216,0.5335729,-0.0636347,0.7093995,0.6081121,-0.08943293,0.7568218,0.6869788,-0.1084288,0.7437099,0.35088745,-0.021542752,0.73342407,0.36999366,-0.06094736,0.6594858,0.39590952,-0.084219694,0.642951,0.4007221,-0.099445656,0.7275624,0.25373563,-0.026721517,0.69897586,0.2938095,-0.0591263,0.6228632,0.3363249,-0.06586202,0.6234133,0.33050007,-0.06828886,0.6865315,0.17876273,-0.038828492,0.660936,0.22104612,-0.071734846,0.59936404,0.26724824,-0.0558561,0.5999199,0.26249492,-0.042185437,0.6370934,0.120194525,-0.055848613,0.6188144,0.15260537,-0.071782954,0.5798835,0.19958363,-0.05328231,0.5774656,0.20285162,-0.03634146
0.29170448,0.33335763,-1.319764e-07,0.30083662,0.4710571,-0.06798995,0.35190234,0.6165365,-0.11653606,0.3880461,0.75638694,-0.15376946,0.42322534,0.883206,-0.18678008,0.49220514,0.4352664,-0.14542468,0.3257067,0.45389962,-0.19585834,0.335853,0.46881264,-0.21766885,0.37913257,0.47694388,-0.23259549,0.48213136,0.2903571,-0.13649406,0.26459512,0.35884902,-0.16624843,0.29688507,0.38751918,-0.15963419,0.35253692,0.39279678,-0.16362138,0.4408816,0.18280433,-0.12877275,0.24529184,0.26001793,-0.14960708,0.27406216,0.2867393,-0.11633452,0.33100384,0.2843114,-0.09769141,0.3827598,0.09776682,-0.13174562,0.24550098,0.17429793,-0.15487748,0.26413584,0.20407546,-0.14242695,0.3111326,0.20238844,-0.13034652
0.1884084,0.32687062,-1.3248969e-07,0.2006386,0.47225964,-0.07119753,0.23589155,0.6143524,-0.12685451,0.25779325,0.7614453,-0.17108248,0.2927662,0.8916078,-0.21015562,0.37090594,0.43316296,-0.15443176,0.17240712,0.4542657,-0.21786775,0.17586508,0.4787689,-0.24980962,0.22399485,0.488988,-0.2716645,0.35108995,0.29496813,-0.14866896,0.1220357,0.36798978,-0.18894051,0.14805198,0.4037986,-0.18418431,0.21152216,0.4063254,-0.18953778,0.3052016,0.19210328,-0.14562957,0.09886658,0.27787971,-0.17479226,0.12603512,0.31580648,-0.13821802,0.18911442,0.31129572,-0.1175133,0.24518418,0.115979254,-0.15433514,0.10146378,0.19967686,-0.18442364,0.11893484,0.23657604,-0.17142297,0.16848868,0.23378533,-0.1589425
0.47021192,0.39834905,-3.0080713e-07,0.5050742,0.550382,-0.07395591,0.57414156,0.6829116,-0.13029681,0.6175293,0.8111245,-0.17915025,0.6552746,0.9258677,-0.2251588,0.7410334,0.46703956,-0.11418836,0.6002627,0.50042504,-0.17844088,0.5668973,0.5073681,-0.22116135,0.5920295,0.4962771,-0.24914727,0.71587116,0.3353564,-0.10887658,0.5549706,0.40308893,-0.15464757,0.53003615,0.430381,-0.16952683,0.5544427,0.4223844,-0.18456148,0.67105156,0.23376201,-0.10887656,0.51614517,0.30684447,-0.14442809,0.49905396,0.34603867,-0.13621649,0.5346854,0.34363192,-0.1334134,0.61620134,0.14819825,-0.11865974,0.49854177,0.21551013,-0.14061457,0.4785577,0.25753224,-0.13348097,0.50191486,0.26210564,-0.12732738
0.37887797,0.22572748,-7.116182e-07,0.4417091,0.4074406,-0.08593941,0.5663152,0.59590375,-0.12500648,0.6606783,0.74223936,-0.16058517,0.70442224,0.8644525,-0.1791887,0.74098945,0.42580113,-0.029844861,0.8633835,0.39214036,-0.12217083,0.73819244,0.38608518,-0.16319193,0.656079,0.4053384,-0.17096585,0.7346492,0.2990551,-0.01640995,0.84172404,0.26616892,-0.11535332,0.690879,0.28434205,-0.12843172,0.6274964,0.31937522,-0.10832079,0.7162732,0.18320571,-0.022495555,0.7990901,0.14962254,-0.11476255,0.6729028,0.18607886,-0.09244518,0.61949134,0.22859047,-0.046778373,0.69295156,0.07396701,-0.037072252,0.7656119,0.044643044,-0.08317878,0.6900568,0.07689151,-0.062107593,0.64547133,0.109873414,-0.027226906
0.15177947,0.20586713,-6.2391564e-07,0.20238234,0.39526963,-0.0828001,0.31900352,0.58160716,-0.1263323,0.39101157,0.7489059,-0.16675755,0.40708768,0.89700973,-0.19295424,0.5222524,0.4284488,-0.037155166,0.61306214,0.39708915,-0.12836549,0.48493657,0.38101676,-0.17090173,0.4127498,0.39739317,-0.18203849,0.52320695,0.29398906,-0.02747646,0.59463036,0.2694682,-0.11987003,0.44540963,0.2793697,-0.13192818,0.39761162,0.30628794,-0.11549051,0.508304,0.16882178,-0.03578351,0.5631363,0.14713746,-0.12198483,0.43757856,0.17384027,-0.09837281,0.39940515,0.20619318,-0.05574768,0.4863577,0.050577223,-0.05185257,0.54473525,0.034244746,-0.088447444,0.46327698,0.060139507,-0.058967724,0.42629272,0.082220614,-0.020722443
