0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0.22577201,0.9214746,4.2663072e-07,0.22208545,0.79170436,0.031851422,0.25178695,0.6927332,0.036663957,0.2965274,0.6561606,0.029078737,0.3372709,0.65185523,0.021121059,0.23987606,0.61691046,0.029693197,0.25266665,0.50003135,0.021798369,0.25548825,0.42671815,0.016771624,0.25710252,0.36698037,0.013859635,0.2791518,0.62085897,-0.0010173756,0.32698476,0.49684227,-0.007875586,0.35662878,0.4273227,-0.016995842,0.38020352,0.37514055,-0.022407264,0.31844333,0.6510423,-0.029777452,0.39369392,0.61068213,-0.03571461,0.3881319,0.6589041,-0.029494124,0.36968362,0.6908474,-0.021352075,0.35580185,0.6964596,-0.05730828,0.40636864,0.6624045,-0.047905926,0.39622614,0.6996383,-0.027691167,0.3778366,0.7288682,-0.011882421
0.17646386,0.83094,6.797e-07,0.12257463,0.7162604,-0.00626995,0.13950482,0.60415745,-0.018097717,0.20230018,0.5537978,-0.030545987,0.25684008,0.54293686,-0.0421041,0.16092783,0.50945354,-0.04110396,0.14241579,0.34852982,-0.061910022,0.13175602,0.25452682,-0.06996333,0.12731965,0.18033338,-0.0730379,0.23194775,0.52385366,-0.04762871,0.26194918,0.36855882,-0.06388608,0.28990883,0.27599555,-0.07209292,0.31688547,0.21201396,-0.075214006,0.2834057,0.56577146,-0.05155008,0.26938367,0.5111478,-0.06497084,0.23981741,0.54175514,-0.06465199,0.22137026,0.58376616,-0.05838931,0.3170684,0.615378,-0.05583335,0.28191227,0.58569884,-0.06050946,0.250521,0.6075294,-0.05091179,0.23407859,0.64079034,-0.039175868
0.2547599,0.860709,5.504627e-07,0.23229969,0.7369733,0.018901803,0.25690177,0.64120483,0.013981441,0.30486494,0.60100067,0.001347588,0.35131887,0.5949426,-0.0111341225,0.24912108,0.5736666,-0.0056275097,0.24903323,0.45474112,-0.02378293,0.24275547,0.3759033,-0.034462497,0.2390168,0.3126854,-0.040297404,0.29607695,0.5787527,-0.027949406,0.34268925,0.45798594,-0.040930826,0.3759979,0.3837592,-0.048794597,0.40320826,0.3295342,-0.053050686,0.3410094,0.6091808,-0.047321487,0.39584684,0.56221104,-0.05244626,0.38759056,0.6013256,-0.039941814,0.37068465,0.6338642,-0.027964652,0.3821267,0.655027,-0.06661746,0.41811454,0.61589444,-0.056532852,0.4059543,0.6476134,-0.03313625,0.3905073,0.6772877,-0.014223731
0.5752943,0.8386083,6.1232777e-07,0.55222106,0.7220754,0.00017933412,0.58068717,0.6272317,-0.005510538,0.6329478,0.59690994,-0.014438245,0.672839,0.59434205,-0.022568952,0.61124116,0.5508981,-0.014583127,0.62397003,0.42130008,-0.029583227,0.634453,0.3461002,-0.037057843,0.64599395,0.2870652,-0.040536232,0.67088526,0.5861714,-0.023835363,0.7181126,0.4767968,-0.034801174,0.75087136,0.41459572,-0.04252542,0.7781395,0.37316215,-0.04559162,0.70921403,0.64098054,-0.03181823,0.7013045,0.6030823,-0.041052643,0.6732483,0.62671465,-0.0394889,0.6539912,0.6579815,-0.033312913,0.72973955,0.699258,-0.040197242,0.7060558,0.67421997,-0.03984442,0.67980397,0.69194424,-0.027480133,0.66440946,0.719586,-0.01491494
0.31474608,0.87713355,6.5512324e-07,0.37169167,0.8107558,-0.036497537,0.38301745,0.6932613,-0.04695353,0.34215286,0.6004826,-0.056836076,0.29620057,0.53934264,-0.06346044,0.38553727,0.5839012,-0.011758164,0.41107696,0.4647451,-0.035036545,0.42540842,0.39223933,-0.049098868,0.43284816,0.33125648,-0.056851983,0.3305586,0.58386856,-0.013001687,0.30723038,0.4366608,-0.0432406,0.30077678,0.35527524,-0.059655562,0.29295614,0.29222295,-0.06393912,0.28331012,0.61744744,-0.019412551,0.27966496,0.550713,-0.07258583,0.31181774,0.62512344,-0.08082151,0.32653558,0.6812276,-0.06817581,0.24691646,0.6675605,-0.027714418,0.2638819,0.6305453,-0.072105154,0.29084414,0.68639076,-0.072613336,0.30242532,0.73145443,-0.06038826
0.23388895,0.78085995,5.639314e-07,0.28332725,0.7097363,-0.038617827,0.2881999,0.6052484,-0.043137304,0.249001,0.52634275,-0.04546882,0.20918654,0.47058186,-0.044946097,0.3051366,0.5292045,0.0046941815,0.32760906,0.44065607,-0.00972869,0.34229976,0.3794703,-0.020975789,0.3514123,0.3296598,-0.02827634,0.25588134,0.5299613,0.008632966,0.24051684,0.42274505,-0.01233876,0.23337941,0.35867214,-0.027261427,0.224724,0.3056719,-0.032156356,0.2124944,0.560915,0.005466938,0.19945547,0.50390923,-0.04452763,0.2202122,0.5733531,-0.058245543,0.23086387,0.6189978,-0.04999269,0.1767555,0.6055392,0.0005334929,0.17740159,0.5574739,-0.046179693,0.19451028,0.6096081,-0.053069986,0.2036861,0.6487317,-0.04596883
0.5439492,0.8897253,7.7514244e-07,0.6148794,0.8086684,-0.02645687,0.63922656,0.6820367,-0.028443601,0.6219319,0.5872898,-0.033980194,0.59780717,0.511279,-0.036359586,0.6150321,0.56446517,0.012684362,0.6448367,0.4485059,-0.011170592,0.66898894,0.37666398,-0.02623521,0.6859438,0.3166151,-0.032414656,0.5617311,0.5592498,0.0045159664,0.5512753,0.40072852,-0.025710266,0.55641216,0.31088868,-0.041967362,0.5590549,0.23856622,-0.04473842,0.5075226,0.5834293,-0.010787905,0.5354354,0.5182946,-0.0694685,0.55741745,0.6076617,-0.07655671,0.5602824,0.6699105,-0.05963605,0.4591142,0.6265292,-0.02722942,0.49770308,0.57405275,-0.070813216,0.52210796,0.64278716,-0.06460465,0.5248276,0.6978221,-0.04660741
0.66861933,0.88136125,6.5454594e-07,0.7438229,0.8370424,-0.026122022,0.7952963,0.73847,-0.03355241,0.7984439,0.65191835,-0.043198276,0.80852,0.5772808,-0.049465876,0.7667726,0.6123131,-0.0030172858,0.81104445,0.52895695,-0.025861554,0.83711994,0.47155267,-0.037246082,0.85584986,0.42030025,-0.040837485,0.7241272,0.5933238,-0.0094178375,0.75098217,0.47002363,-0.039842937,0.76776475,0.389844,-0.0533338,0.77855664,0.3236296,-0.053928304,0.68358946,0.59946585,-0.02117778,0.7519544,0.5784542,-0.076036334,0.758268,0.665305,-0.083500125,0.74895674,0.7252627,-0.068553425,0.65277797,0.62565565,-0.034079272,0.7240662,0.6223934,-0.073143184,0.7334746,0.6972567,-0.07055706,0.72657186,0.7547531,-0.056217574
0.61590004,0.8234774,7.958653e-07,0.6920946,0.78583556,-0.03572309,0.74729365,0.6952779,-0.05233192,0.76601154,0.61541456,-0.07095116,0.78947675,0.5435971,-0.08484509,0.7250595,0.53215843,-0.020716934,0.773653,0.4206779,-0.052035958,0.8038411,0.3509574,-0.067468725,0.82359123,0.29083,-0.073066235,0.67799306,0.5170278,-0.027109299,0.7025539,0.36572656,-0.06818056,0.7228328,0.27414817,-0.08646359,0.7345972,0.2004213,-0.0879237,0.6357435,0.5316166,-0.039085295,0.70947504,0.50972074,-0.10446019,0.72071844,0.60711443,-0.11325494,0.71161765,0.6741132,-0.09508859,0.60462916,0.56822217,-0.053012885,0.6860749,0.5757667,-0.09905255,0.70433795,0.6499807,-0.09888061,0.69958514,0.70744586,-0.08347951
0.31073397,0.894701,1.1646666e-06,0.3742139,0.8788718,-0.074470475,0.41407692,0.7732956,-0.1029651,0.36896744,0.63020533,-0.12667504,0.33632517,0.5106951,-0.1439712,0.53033584,0.5953669,-0.031037409,0.60377026,0.46434617,-0.07331242,0.6517871,0.37421465,-0.10077717,0.68763673,0.29813117,-0.1160154,0.47238788,0.53984714,-0.025092958,0.5198085,0.36074588,-0.07681041,0.5447032,0.23563987,-0.10891081,0.56312287,0.13295645,-0.11859295,0.4072599,0.54189724,-0.02924948,0.37975913,0.4484509,-0.11307974,0.35423017,0.55169994,-0.13163145,0.34403276,0.62860787,-0.11394561,0.3422585,0.5790783,-0.038107097,0.324692,0.51482147,-0.106316335,0.31585926,0.59903324,-0.11036765,0.31837666,0.67048,-0.09210592
0.19956285,0.90233064,1.1295821e-06,0.27000564,0.8683256,-0.0720273,0.30511186,0.766063,-0.102981016,0.2438619,0.64553946,-0.12949775,0.18865745,0.5486307,-0.15037237,0.35307568,0.5493421,-0.04326063,0.4151774,0.395382,-0.08709291,0.4516994,0.29452473,-0.11324989,0.47214293,0.20843297,-0.12741467,0.28181356,0.5247127,-0.03825004,0.27870095,0.33343375,-0.091670774,0.27307615,0.21594837,-0.12265548,0.2640299,0.123149246,-0.13188072,0.21724536,0.5547021,-0.041817397,0.19949928,0.49587962,-0.12349072,0.21096626,0.5932345,-0.14368033,0.21735317,0.66259223,-0.12921399,0.16562064,0.6103393,-0.049807142,0.16120507,0.59028643,-0.116922624,0.1771127,0.6703823,-0.12495547,0.1907185,0.7303048,-0.11042778
